term_code,crn,subject,course_number,section,title,credits,capacity,enrolled,seats_remaining,waitlist_capacity,waitlist_count,instructors,meetings,notes
"{""code"":202502,""description"":""Spring 2026""}",20001,"{""code"":""AFR"",""description"":""Africana Studies""}",101,A,Intro to Africana Studies,1,,,25,,,"[{""first_name"":""Fernanda"",""last_name"":""Villarroel Lamoza"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3,5],""weekdays"":""MWF"",""start_time"":""1530"",""end_time"":""1620"",""class_time"":""0330 - 0420pm"",""room"":""2187"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20631,"{""code"":""AFR"",""description"":""Africana Studies""}",200,A,Research Methods,1,,,25,,,"[{""first_name"":""Takiyah"",""last_name"":""Harper-Shipman"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""0940"",""end_time"":""1055"",""class_time"":""0940 - 1055am"",""room"":""1086"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20586,"{""code"":""AFR"",""description"":""Africana Studies""}",222,A,"Race, Policing, and Justice",1,,,25,,,"[{""first_name"":""Terrance"",""last_name"":""Wooten"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""1340"",""end_time"":""1455"",""class_time"":""0140 - 0255pm"",""room"":""109"",""building"":{""code"":""CUNN"",""description"":""Cunningham Fine Arts""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20002,"{""code"":""AFR"",""description"":""Africana Studies""}",224,A,Race and Campus Histories,1,,,25,,,"[{""first_name"":""Hilary"",""last_name"":""Green"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""1215"",""end_time"":""1330"",""class_time"":""1215 - 0130pm"",""room"":""1006"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20003,"{""code"":""AFR"",""description"":""Africana Studies""}",234,A,"Race, Gender, and Tourism ",1,,,25,,,"[{""first_name"":""Randi"",""last_name"":""Gill-Sadler"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3],""weekdays"":""MW"",""start_time"":""1430"",""end_time"":""1545"",""class_time"":""0230 - 0345pm"",""room"":""3209"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20004,"{""code"":""AFR"",""description"":""Africana Studies""}",246,A,Black Sexual Geographies,1,,,25,,,"[{""first_name"":""Terrance"",""last_name"":""Wooten"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""1505"",""end_time"":""1620"",""class_time"":""0305 - 0420pm"",""room"":""109"",""building"":{""code"":""CUNN"",""description"":""Cunningham Fine Arts""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20005,"{""code"":""AFR"",""description"":""Africana Studies""}",255,A,Approaches to African Art,1,,,25,,,"[{""first_name"":""Fernanda"",""last_name"":""Villarroel Lamoza"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3,5],""weekdays"":""MWF"",""start_time"":""1230"",""end_time"":""1320"",""class_time"":""1230 - 0120pm"",""room"":""2187"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20006,"{""code"":""AFR"",""description"":""Africana Studies""}",269,A,Race and Homelessness,1,,,25,,,"[{""first_name"":""Terrance"",""last_name"":""Wooten"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[3],""weekdays"":""W"",""start_time"":""1330"",""end_time"":""1620"",""class_time"":""0130 - 0420pm"",""room"":""201"",""building"":{""code"":""SLOAN"",""description"":""Sloan Music Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20612,"{""code"":""AFR"",""description"":""Africana Studies""}",279,A,Empire & American Culture,1,,,25,,,"[{""first_name"":""Randi"",""last_name"":""Gill-Sadler"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[1,3,5],""weekdays"":""MWF"",""start_time"":""1030"",""end_time"":""1120"",""class_time"":""1030 - 1120am"",""room"":""2068"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
"{""code"":202502,""description"":""Spring 2026""}",20007,"{""code"":""AFR"",""description"":""Africana Studies""}",303,A,W. E. B. Du Bois at Large,1,,,25,,,"[{""first_name"":""Hilary"",""last_name"":""Green"",""campus_id"":""AUTHORIZATION_REQUIRED""}]","[{""type"":""lecture"",""days"":[2,4],""weekdays"":""TR"",""start_time"":""0815"",""end_time"":""0930"",""class_time"":""0815 - 0930am"",""room"":""3187"",""building"":{""code"":""CHAM"",""description"":""Chambers Building""}}]",
