Crs & Sec,CRN,Title,Cred,Days,Time,Room,Instructor,Notes,Grad. Reqs.,Seats Left,subject,course_number,section,credits,weekdays,start_time,end_time,building,room,enrolled,capacity,seats_remaining
AFR-101-A,20001,Intro to Africana Studies,1,MWF,3:30 PM - 4:20 PM,CHAM 2187,Villarroel Lamoza F,,,,AFR,101,A,1,MWF,1530,1620,CHAM,2187,,,25
AFR-200-A,20631,Research Methods,1,TR,9:40 AM - 10:55 AM,CHAM 1086,Harper-Shipman T,,,,AFR,200,A,1,TR,0940,1055,CHAM,1086,,,25
AFR-222-A,20586,"Race, Policing, and Justice",1,TR,1:40 PM - 2:55 PM,CUNN 109,Wooten T,,,,AFR,222,A,1,TR,1340,1455,CUNN,109,,,25
AFR-224-A,20002,Race and Campus Histories,1,TR,12:15 PM - 1:30 PM,CHAM 1006,Green H,,,,AFR,224,A,1,TR,1215,1330,CHAM,1006,,,25
AFR-234-A,20003,"Race, Gender, and Tourism ",1,MW,2:30 PM - 3:45 PM,CHAM 3209,Gill-Sadler R,,,,AFR,234,A,1,MW,1430,1545,CHAM,3209,,,25
AFR-246-A,20004,Black Sexual Geographies,1,TR,3:05 PM - 4:20 PM,CUNN 109,Wooten T,,,,AFR,246,A,1,TR,1505,1620,CUNN,109,,,25
AFR-255-A,20005,Approaches to African Art,1,MWF,12:30 PM - 1:20 PM,CHAM 2187,Villarroel Lamoza F,,,,AFR,255,A,1,MWF,1230,1320,CHAM,2187,,,25
AFR-269-A,20006,Race and Homelessness,1,W,1:30 PM - 4:20 PM,SLOAN 201,Wooten T,,,,AFR,269,A,1,W,1330,1620,SLOAN,201,,,25
AFR-279-A,20612,Empire & American Culture,1,MWF,10:30 AM - 11:20 AM,CHAM 2068,Gill-Sadler R,,,,AFR,279,A,1,MWF,1030,1120,CHAM,2068,,,25
AFR-303-A,20007,W. E. B. Du Bois at Large,1,TR,8:15 AM - 9:30 AM,CHAM 3187,Green H,,,,AFR,303,A,1,TR,0815,0930,CHAM,3187,,,25
AFR-330-A,20008,Decolonizing Develop in Africa,1,T,1:40 PM - 4:20 PM,CHAM 1006,Harper-Shipman T,,,,AFR,330,A,1,T,1340,1620,CHAM,1006,,,25
AFR-336-A,20611,Politics of Joy,1,W,1:30 PM - 4:20 PM,CUNN 111,Castaneda V,,,,AFR,336,A,1,W,1330,1620,CUNN,111,,,25
AFR-495-A,20633,Africana Capstone,1,,,,Harper-Shipman T,,,,AFR,495,A,1,,,,,,,,25
AFR-498-A,20699,Listening at the Margins,1,,,,Green H,,,,AFR,498,A,1,,,,,,,,25
ANT-210-A,20012,Maroon Societies,1,TR,12:15 PM - 1:30 PM,CHAM 2068,Brown B,,,,ANT,210,A,1,TR,1215,1330,CHAM,2068,,,25
ANT-234-A,20013,Urban Africa/Popular Culture,1,TR,1:40 PM - 2:55 PM,CHAM HANCE,Bowles L; Wiemers A,,,,ANT,234,A,1,TR,1340,1455,CHAM,HANCE,,,25
ANT-261-A,20564,"Science, Policy, and Society",1,MWF,10:30 AM - 11:20 AM,CUNN 109,Lozada F,,,,ANT,261,A,1,MWF,1030,1120,CUNN,109,,,25
ANT-263-A,20014,Racial Justice Seminar ,1,TR,9:40 AM - 10:55 AM,DANA 153,Bowles L,,,,ANT,263,A,1,TR,0940,1055,DANA,153,,,25
ANT-273-A,20015,Bioarchaeology,1,MWF,9:30 AM - 10:20 AM,CHAM 2198,Cho H,,,,ANT,273,A,1,MWF,0930,1020,CHAM,2198,,,25
ANT-283-A,20016,Spec Topics in ANT: Folklore,1,MWF,9:30 AM - 10:20 AM,CHAM 3155,Samson M,,,,ANT,283,A,1,MWF,0930,1020,CHAM,3155,,,25
ANT-327-A,20017,Religion in Latin America,1,MW,2:30 PM - 3:45 PM,CHAM 1096,Samson M,,,,ANT,327,A,1,MW,1430,1545,CHAM,1096,,,25
ANT-373-A,20018,Decolonizing Anthro Theory,1,TR,3:05 PM - 4:20 PM,CHAM 3106,Brown B,,,,ANT,373,A,1,TR,1505,1620,CHAM,3106,,,25
ANT-374-A,20019,Methods in Forensic Anthro,1,F,1:30 PM - 4:20 PM,CHAM 2196,Cho H,,,,ANT,374,A,1,F,1330,1620,CHAM,2196,,,25
ANT-378-A,20020,Artifacts and Archives,1,W,1:30 PM - 4:20 PM,CHAM B022,Brown B,,,,ANT,378,A,1,W,1330,1620,CHAM,B022,,,25
ANT-398-A,20802,Housing & Gentrification,1,,,,Bowles L,,,,ANT,398,A,1,,,,,,,,25
ANT-499-A,20801,Honors Thesis,1,,,,Bowles L,,,,ANT,499,A,1,,,,,,,,25
ARB-102-A,20021,Elementary Arabic II,1,MWF,10:30 AM - 11:20 AM,CHAM 3234,Joubin R,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,ARB,102,A,1,MWF,1030,1120,CHAM,3234,,,25
ARB-202-A,20024,Intermediate Arabic II,1,MWF,9:30 AM - 10:20 AM,CHAM 3234,Joubin R,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,ARB,202,A,1,MWF,0930,1020,CHAM,3234,,,25
ARB-295-A,20784,Politics Through NA Media,1,,,,Joubin R,,,,ARB,295,A,1,,,,,,,,25
ARB-394-A,20731,Arabic Media & Politics,1,,,,Joubin R,,,,ARB,394,A,1,,,,,,,,25
ARB-395-A,20663,Arabic and Education,1,,,,Joubin R,,,,ARB,395,A,1,,,,,,,,25
ARB-395-C,20695, Politics Through Satire,1,,,,Joubin R,,,,ARB,395,C,1,,,,,,,,25
ARB-396-A,20659,Arab Diasporic Politics,1,,,,Joubin R,,,,ARB,396,A,1,,,,,,,,25
ARB-396-B,20672,Accelerated Persian,1,,,,Joubin R,,,,ARB,396,B,1,,,,,,,,25
ARB-396-C,20812,Arabic Economics,1,,,,Joubin R,,,,ARB,396,C,1,,,,,,,,25
ARB-396-D,20831,Honor & Shame in Arab Society,1,,,,Joubin R,,,,ARB,396,D,1,,,,,,,,25
ART-101-A,20027,Basic Drawing,1,M,1:30 PM - 4:20 PM,VAC 203,Sahagun L,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,,ART,101,A,1,M,1330,1620,VAC,203,,,25
ART-101-B,20028,Basic Drawing,1,M,1:30 PM - 4:20 PM,VAC 203,Sahagun L,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,,ART,101,B,1,M,1330,1620,VAC,203,,,25
ART-101-C,20029,Basic Drawing,1,TR,9:40 AM - 10:55 AM,VAC 203,Starr T,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,,ART,101,C,1,TR,0940,1055,VAC,203,,,25
ART-101-D,20030,Basic Drawing,1,TR,9:40 AM - 10:55 AM,VAC 203,Starr T,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,,ART,101,D,1,TR,0940,1055,VAC,203,,,25
ART-104-A,20031,Asian Art After 1000,1,TR,12:15 PM - 1:30 PM,VAC 117,Zhang Y,,,,ART,104,A,1,TR,1215,1330,VAC,117,,,25
ART-111-A,20032,Introduction to Digital Art,1,TR,9:40 AM - 10:55 AM,VAC 212,Dietrick J,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,,ART,111,A,1,TR,0940,1055,VAC,212,,,25
ART-111-B,20033,Introduction to Digital Art,1,TR,9:40 AM - 10:55 AM,VAC 212,Dietrick J,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,,ART,111,B,1,TR,0940,1055,VAC,212,,,25
ART-203-A,20034,Advanced Painting,1,M,1:30 PM - 4:20 PM,VAC 214,St Clair K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,ART,203,A,1,M,1330,1620,VAC,214,,,25
ART-205-A,20035,Advanced Printmaking,1,TR,12:15 PM - 1:30 PM,VAC 104,Starr T,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,ART,205,A,1,TR,1215,1330,VAC,104,,,25
ART-211-A,20037,Advanced Digital Art,1,TR,12:15 PM - 1:30 PM,VAC 212,Dietrick J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,ART,211,A,1,TR,1215,1330,VAC,212,,,25
ART-233-A,20587,The Arts Along the Silk Roads,1,MW,2:30 PM - 3:45 PM,VAC 117,Zhang Y,,,,ART,233,A,1,MW,1430,1545,VAC,117,,,25
ART-248-A,20039,From Agra to Istanbul,1,TR,1:40 PM - 2:55 PM,VAC 117,Halsted L,,,,ART,248,A,1,TR,1340,1455,VAC,117,,,25
ART-300-A,20040,Critical Theory for Vis. Stud,1,MWF,8:30 AM - 9:20 AM,VAC 108,Corso-Esquivel J,,,,ART,300,A,1,MWF,0830,0920,VAC,108,,,25
ART-301-A,20041,Topics in Sculpture,1,W,1:30 PM - 4:20 PM,VAC 106,Sahagun L,,,,ART,301,A,1,W,1330,1620,VAC,106,,,25
ART-301-B,20625,Topics in Sculpture,1,T,1:40 PM - 4:20 PM,VAC 106,Sahagun L,,,,ART,301,B,1,T,1340,1620,VAC,106,,,25
