student_id,grade,choice1_1,choice1_2,choice1_3,choice1_4,choice1_5,choice2_1,choice2_2,choice2_3,choice2_4,choice2_5,choice3_1,choice3_2,choice3_3,choice3_4,choice3_5,choice4_1,choice4_2,choice4_3,choice4_4,choice4_5
S001,10,C105,C107,C108,C101,C104,C104,C106,C107,C101,C108,C101,C104,C102,C109,C110,C109,C106,C110,C102,C104
S002,10,C110,C106,C102,C105,C101,C110,C103,C105,C106,C107,C103,C106,C107,C105,C108,C102,C108,C103,C105,C101
S003,9,C104,C107,C102,C110,C101,C108,C107,C105,C101,C110,C104,C109,C108,C106,C103,C101,C108,C106,C105,C109
S004,10,C105,C102,C106,C109,C103,C105,C108,C107,C103,C109,C106,C109,C105,C103,C110,C107,C101,C104,C109,C108
S005,10,C105,C109,C102,C110,C101,C106,C102,C105,C104,C103,C108,C109,C102,C105,C107,C101,C107,C104,C105,C103
S006,11,C107,C105,C104,C108,C102,C101,C109,C106,C107,C103,C110,C108,C107,C102,C109,C108,C105,C103,C107,C102
S007,9,C101,C105,C104,C102,C106,C110,C109,C104,C103,C101,C107,C104,C105,C109,C103,C107,C104,C109,C105,C108
S008,10,C104,C107,C105,C103,C101,C104,C109,C108,C105,C101,C101,C104,C106,C109,C110,C109,C107,C105,C108,C101
S009,12,C105,C109,C107,C103,C101,C102,C104,C108,C107,C109,C106,C109,C105,C110,C108,C104,C110,C103,C105,C108
S010,10,C109,C110,C102,C101,C104,C109,C105,C102,C101,C103,C110,C104,C106,C101,C109,C102,C108,C103,C105,C107
S011,9,C110,C102,C103,C107,C106,C106,C110,C101,C104,C107,C101,C104,C108,C103,C105,C106,C107,C105,C104,C108
S012,10,C104,C110,C107,C108,C101,C110,C103,C106,C102,C101,C109,C102,C106,C107,C104,C109,C108,C104,C101,C103
S013,12,C109,C104,C106,C103,C102,C106,C103,C101,C102,C109,C103,C109,C105,C101,C108,C105,C102,C104,C108,C110
S014,11,C110,C109,C104,C106,C103,C107,C109,C105,C102,C101,C105,C104,C103,C110,C101,C101,C109,C110,C107,C104
S015,10,C106,C105,C102,C101,C109,C110,C104,C102,C107,C108,C101,C108,C103,C104,C109,C102,C103,C110,C106,C109
S016,12,C103,C101,C108,C109,C106,C104,C101,C108,C102,C103,C105,C104,C106,C103,C102,C103,C108,C106,C105,C104
S017,9,C109,C101,C107,C105,C104,C103,C108,C106,C104,C101,C108,C107,C105,C103,C110,C107,C103,C102,C108,C106
S018,12,C109,C104,C110,C105,C102,C106,C103,C104,C102,C105,C109,C110,C101,C104,C106,C104,C108,C107,C101,C102
S019,11,C110,C101,C106,C103,C105,C101,C103,C105,C110,C107,C102,C110,C107,C101,C106,C107,C102,C105,C101,C104
S020,12,C107,C108,C103,C106,C104,C108,C104,C106,C103,C105,C110,C106,C107,C109,C104,C107,C102,C109,C103,C108
S021,12,C102,C101,C109,C105,C103,C107,C108,C105,C102,C110,C106,C102,C110,C109,C108,C107,C102,C101,C110,C109
S022,12,C108,C101,C109,C107,C105,C102,C103,C101,C104,C105,C110,C102,C109,C101,C105,C107,C109,C108,C102,C105
S023,12,C102,C104,C110,C106,C105,C107,C108,C105,C102,C106,C101,C108,C104,C107,C105,C105,C103,C104,C107,C102
S024,11,C103,C102,C104,C108,C107,C108,C103,C110,C101,C105,C110,C104,C103,C101,C108,C101,C103,C106,C107,C104
S025,10,C106,C102,C104,C107,C108,C107,C104,C108,C106,C102,C101,C106,C107,C110,C109,C105,C103,C109,C104,C108
S026,9,C104,C101,C102,C109,C110,C106,C109,C101,C102,C103,C107,C110,C104,C106,C101,C107,C106,C102,C104,C108
S027,9,C103,C102,C101,C107,C106,C108,C110,C101,C105,C102,C104,C106,C105,C101,C109,C103,C106,C109,C101,C104
S028,9,C108,C105,C106,C101,C103,C110,C105,C101,C106,C108,C104,C102,C107,C108,C105,C101,C104,C105,C110,C107
S029,11,C102,C106,C101,C103,C109,C107,C110,C102,C103,C104,C109,C106,C103,C107,C108,C106,C109,C102,C107,C103
S030,11,C104,C109,C101,C107,C106,C109,C107,C104,C102,C105,C103,C110,C109,C105,C104,C102,C109,C106,C101,C103
S031,12,C104,C108,C105,C101,C103,C110,C107,C105,C101,C104,C104,C110,C106,C108,C105,C109,C103,C110,C104,C108
S032,12,C101,C107,C103,C108,C110,C106,C103,C110,C109,C104,C108,C101,C104,C102,C109,C109,C104,C106,C101,C110
S033,10,C101,C106,C104,C107,C109,C105,C110,C104,C106,C101,C101,C106,C104,C108,C105,C107,C110,C102,C105,C109
S034,10,C108,C105,C102,C101,C103,C107,C102,C103,C106,C105,C106,C107,C109,C103,C104,C109,C107,C106,C102,C104
S035,11,C101,C105,C104,C103,C102,C102,C110,C103,C106,C107,C103,C105,C101,C104,C110,C104,C110,C106,C108,C102
S036,11,C104,C101,C109,C110,C105,C110,C106,C108,C103,C109,C108,C103,C109,C110,C102,C103,C104,C102,C109,C106
S037,9,C107,C101,C109,C102,C105,C106,C104,C101,C110,C103,C101,C104,C103,C107,C106,C109,C104,C107,C103,C106
S038,11,C110,C107,C102,C101,C103,C101,C109,C104,C110,C105,C108,C107,C109,C104,C106,C104,C109,C110,C106,C101
S039,12,C109,C108,C106,C105,C101,C109,C102,C103,C105,C108,C108,C106,C103,C105,C101,C108,C106,C105,C107,C104
S040,9,C105,C102,C101,C109,C104,C107,C110,C102,C108,C106,C101,C104,C108,C107,C110,C104,C106,C110,C105,C102
S041,12,C101,C107,C106,C104,C105,C107,C104,C103,C105,C109,C108,C102,C103,C110,C109,C106,C101,C104,C109,C108
S042,10,C101,C106,C102,C104,C105,C109,C107,C110,C108,C106,C104,C107,C102,C105,C101,C104,C102,C110,C103,C105
S043,10,C103,C108,C110,C109,C105,C104,C102,C109,C101,C110,C106,C109,C103,C108,C102,C106,C110,C109,C105,C101
S044,11,C110,C103,C105,C102,C104,C106,C104,C101,C105,C102,C109,C101,C102,C105,C104,C101,C102,C109,C110,C105
S045,10,C108,C103,C109,C102,C110,C110,C107,C109,C108,C102,C104,C107,C109,C106,C105,C103,C109,C110,C101,C106
S046,11,C110,C104,C103,C105,C102,C107,C102,C108,C110,C103,C110,C109,C105,C102,C107,C105,C102,C107,C108,C104
S047,11,C104,C106,C105,C109,C108,C109,C104,C105,C101,C106,C106,C105,C108,C103,C109,C104,C110,C102,C106,C101
S048,12,C107,C109,C110,C103,C106,C108,C105,C106,C107,C110,C104,C108,C109,C103,C101,C107,C102,C108,C105,C104
S049,12,C103,C102,C101,C106,C104,C108,C103,C105,C106,C107,C110,C104,C107,C105,C101,C103,C109,C102,C110,C104
S050,12,C106,C101,C103,C105,C110,C110,C107,C109,C104,C108,C110,C101,C103,C102,C107,C101,C108,C105,C102,C103
S051,10,C104,C107,C110,C101,C108,C110,C108,C104,C106,C102,C108,C107,C110,C101,C105,C105,C109,C107,C101,C106
S052,12,C107,C102,C110,C108,C101,C109,C103,C105,C102,C106,C103,C106,C105,C104,C109,C106,C109,C103,C110,C107
S053,11,C106,C101,C102,C107,C109,C109,C103,C108,C104,C107,C109,C103,C102,C108,C107,C110,C105,C101,C103,C107
S054,10,C102,C109,C108,C101,C105,C104,C105,C101,C107,C103,C110,C109,C108,C107,C102,C101,C107,C102,C108,C109
S055,10,C110,C101,C103,C104,C109,C106,C103,C110,C107,C109,C109,C104,C101,C105,C108,C109,C105,C108,C106,C104
